file_name,category
001934.jpeg,01.01 Прочая реклама
002353.jpeg,"01.01 Прочая реклама,09.02 Иные акции"
002461.jpeg,01.01 Прочая реклама
002711.jpeg,01.01 Прочая реклама
002723.jpeg,"01.01 Прочая реклама,09.02 Иные акции"
003009.jpeg,"05.03 Информационная продукция,01.01 Прочая реклама"
004036.jpeg,01.01 Прочая реклама
005873.jpeg,01.01 Прочая реклама
008318.jpeg,01.01 Прочая реклама
013554.jpeg,01.01 Прочая реклама
014074.jpeg,01.01 Прочая реклама
015613.jpeg,01.01 Прочая реклама
015713.jpg,"01.01 Прочая реклама,09.02 Иные акции"
015714.jpeg,"01.01 Прочая реклама,09.02 Иные акции"
015936.jpeg,"05.07 QR-код / адрес сайта,05.05 Физическое лицо,01.01 Прочая реклама"
016522.jpeg,01.01 Прочая реклама
017932.jpeg,28.02 Кредит/Ипотека
01933.jpeg,01.01 Прочая реклама
020720.jpeg,01.01 Прочая реклама
020882.jpeg,01.01 Прочая реклама
023450.jpeg,27.01 Спорт+букмекер
024196.jpeg,01.01 Прочая реклама
02460.jpeg,01.01 Прочая реклама
025765.jpeg,"24.02 Медицинские изделия,01.01 Прочая реклама"
029825.jpeg,01.01 Прочая реклама
030063.jpeg,05.05 Физическое лицо
030526.jpeg,01.01 Прочая реклама
031341.jpeg,01.01 Прочая реклама
031987.jpeg,"05.03 Информационная продукция,05.05 Физическое лицо,01.01 Прочая реклама"
032549.jpeg,"05.03 Информационная продукция,01.01 Прочая реклама"
034474.jpeg,"28.07 Строительство (ДДУ),05.05 Физическое лицо,28.08 Застройщик"
036795.jpeg,01.01 Прочая реклама
036896.jpeg,01.01 Прочая реклама
037081.jpeg,01.01 Прочая реклама
038412.jpeg,01.01 Прочая реклама
08317.jpeg,01.01 Прочая реклама
15935.jpeg,"05.07 QR-код / адрес сайта,05.05 Физическое лицо,01.01 Прочая реклама"
16521.jpeg,01.01 Прочая реклама
1916024.mp4,"05.07 QR-код / адрес сайта,05.02 Иностранные слова,01.01 Прочая реклама"
1916883.jpg,05.02 Иностранные слова
1916901.jpg,01.01 Прочая реклама
1916902.jpg,01.01 Прочая реклама
1917026.zip,05.05 Физическое лицо
1917389.jpg,09.02 Иные акции
1917732.mp4,28.08 Застройщик
1917733.mp4,28.08 Застройщик
1917734.mp4,28.08 Застройщик
1917735.mp4,28.08 Застройщик
1917736.mp4,28.08 Застройщик
1917737.mp4,28.08 Застройщик
1917738.mp4,28.08 Застройщик
1917739.mp4,28.08 Застройщик
1917798.jpg,01.01 Прочая реклама
1917832.jpg,24.03 Лекарственные препараты 
1917833.jpg,24.03 Лекарственные препараты 
1917863.jpg,28.08 Застройщик
1917905.jfif,21.03 Бар ресторан
1917910.jpg,"08.01 Дистанционные продажи,09.02 Иные акции"
1917911.jpg,"08.01 Дистанционные продажи,09.02 Иные акции"
1917920.jpg,01.01 Прочая реклама
1917921.jpg,01.01 Прочая реклама
1917922.jpg,01.01 Прочая реклама
1917923.jpg,01.01 Прочая реклама
1917924.jpg,01.01 Прочая реклама
1917925.jpg,01.01 Прочая реклама
1917926.jpg,01.01 Прочая реклама
1917951.jpg,01.01 Прочая реклама
1917967.mp4,08.01 Дистанционные продажи
1917978.mp4,01.01 Прочая реклама
1918176.jpg,"09.02 Иные акции,28.08 Застройщик"
1918224.jpg,01.01 Прочая реклама
1918225.jpg,01.01 Прочая реклама
1918226.jpg,01.01 Прочая реклама
1918227.jpg,01.01 Прочая реклама
1918228.jpg,01.01 Прочая реклама
1918229.jpg,01.01 Прочая реклама
1918230.jpg,01.01 Прочая реклама
1918231.jpg,01.01 Прочая реклама
1918232.jpg,01.01 Прочая реклама
1918233.jpg,01.01 Прочая реклама
1918250.mp4,"28.01 Финансовая организация (банк брокер страхование и т.д.),28.03 Вклад"
1918375.jpg,01.01 Прочая реклама
1918380.jpg,28.08 Застройщик
1918381.jpg,28.08 Застройщик
1918485.mp4,01.01 Прочая реклама
1918491.jpg,28.08 Застройщик
1918525.PNG,01.01 Прочая реклама
1918605.jpg,28.08 Застройщик
1918618.png,05.03 Информационная продукция
1918619.png,05.03 Информационная продукция
1918620.png,05.03 Информационная продукция
1918621.png,05.03 Информационная продукция
1918622.png,05.03 Информационная продукция
1918623.png,05.03 Информационная продукция
1918624.png,05.03 Информационная продукция
1918625.png,05.03 Информационная продукция
1918626.png,05.03 Информационная продукция
1918627.png,05.03 Информационная продукция
1918670.mp4,28.01 Финансовая организация (банк брокер страхование и т.д.)
1918744.jpg,28.10 Построенная недвижимость
1918745.jpg,28.10 Построенная недвижимость
1918752.png,01.01 Прочая реклама
1918760.jpg,28.08 Застройщик
1918824.mp4,01.01 Прочая реклама
1918825.mp4,01.01 Прочая реклама
1918826.mp4,01.01 Прочая реклама
1918827.mp4,01.01 Прочая реклама
1918828.mp4,01.01 Прочая реклама
1918847.png,01.01 Прочая реклама
1918895.jpg,01.01 Прочая реклама
1918896.jpg,01.01 Прочая реклама
1918903.mp4,01.01 Прочая реклама
1918941.jpg,01.01 Прочая реклама
1918980.jpg,24.01 Медицинские услуги
1918981.jpg,24.01 Медицинские услуги
1918982.jpg,24.01 Медицинские услуги
1918983.jpg,24.01 Медицинские услуги
1918984.jpg,24.01 Медицинские услуги
1918985.jpg,24.01 Медицинские услуги
1918998.png,09.02 Иные акции
1919006.png,28.08 Застройщик
1919065.jpg,01.01 Прочая реклама
1919082.7z,01.01 Прочая реклама
1919108.jpg,28.07 Строительство (ДДУ)
1919109.jpg,28.07 Строительство (ДДУ)
1919110.jpg,28.07 Строительство (ДДУ)
1919111.jpg,28.07 Строительство (ДДУ)
1919127.jpg,01.01 Прочая реклама
1919128.jpg,01.01 Прочая реклама
1919129.jpg,01.01 Прочая реклама
1919130.jpg,01.01 Прочая реклама
1919134.mp4,01.01 Прочая реклама
1919139.jpg,24.03 Лекарственные препараты 
1919140.jpg,24.03 Лекарственные препараты 
1919166.png,28.01 Финансовая организация (банк брокер страхование и т.д.)
1919167.png,28.01 Финансовая организация (банк брокер страхование и т.д.)
1919195.png,10.01 Социальная реклама
1919196.png,10.01 Социальная реклама
1919197.png,10.01 Социальная реклама
1919243.jpg,09.01 Стимулирующее мероприятие
1919248.jpg,21.03 Бар ресторан
1919249.jpg,21.03 Бар ресторан
1919250.jpg,21.03 Бар ресторан
1919267.mp4,01.01 Прочая реклама
1919295.jpg,"01.01 Прочая реклама,09.02 Иные акции"
1919296.jpg,"01.01 Прочая реклама,09.02 Иные акции"
1919314.jpg,01.01 Прочая реклама
1919315.jpg,01.01 Прочая реклама
1919335.jpg,01.01 Прочая реклама
1919336.jpg,01.01 Прочая реклама
1919337.jpg,01.01 Прочая реклама
1919350.jpg,01.01 Прочая реклама
1919357.jpg,01.01 Прочая реклама
1919377.mp4,24.03 Лекарственные препараты 
1919378.mp4,24.03 Лекарственные препараты 
1919379.mp4,24.03 Лекарственные препараты 
1919411.jpg,01.01 Прочая реклама
1919412.jpg,01.01 Прочая реклама
1919435.jpg,28.01 Финансовая организация (банк брокер страхование и т.д.)
1919462.jpg,01.01 Прочая реклама
1919463.jpg,01.01 Прочая реклама
1919464.jpg,01.01 Прочая реклама
1919465.jpg,01.01 Прочая реклама
1919466.jpg,01.01 Прочая реклама
1919467.jpg,01.01 Прочая реклама
1919468.jpg,01.01 Прочая реклама
1919469.jpg,01.01 Прочая реклама
1919470.jpg,01.01 Прочая реклама
1919471.jpg,01.01 Прочая реклама
1919472.jpg,01.01 Прочая реклама
1919473.jpg,01.01 Прочая реклама
1919499.jpg,01.01 Прочая реклама
1919502.jpg,01.01 Прочая реклама
1919503.jpg,01.01 Прочая реклама
1919508.jpg,"09.02 Иные акции,28.08 Застройщик"
1919550.jpg,28.08 Застройщик
1919551.jpg,28.08 Застройщик
1919553.mp4,28.08 Застройщик
1919555.mp4,28.08 Застройщик
1919566.jpg,09.02 Иные акции
1919567.jpg,09.02 Иные акции
1919568.jpg,09.02 Иные акции
1919569.jpg,09.02 Иные акции
1919583.jpg,01.01 Прочая реклама
1919591.jpg,28.10 Построенная недвижимость
1919596.png,01.01 Прочая реклама
1919597.png,01.01 Прочая реклама
1919598.png,01.01 Прочая реклама
1919599.png,01.01 Прочая реклама
1919600.png,01.01 Прочая реклама
1919601.png,01.01 Прочая реклама
1919602.png,01.01 Прочая реклама
1919603.png,01.01 Прочая реклама
1919623.jpg,01.01 Прочая реклама
1919624.jpg,01.01 Прочая реклама
1919637.mp4,01.01 Прочая реклама
1919638.mp4,01.01 Прочая реклама
1919639.mp4,01.01 Прочая реклама
1919646.mp4,08.01 Дистанционные продажи
1919647.mp4,08.01 Дистанционные продажи
1919648.mp4,08.01 Дистанционные продажи
1919649.mp4,08.01 Дистанционные продажи
1919650.mp4,08.01 Дистанционные продажи
1919651.mp4,08.01 Дистанционные продажи
1919652.mp4,08.01 Дистанционные продажи
1919653.mp4,08.01 Дистанционные продажи
1919654.mp4,08.01 Дистанционные продажи
1919655.mp4,08.01 Дистанционные продажи
1919656.mp4,08.01 Дистанционные продажи
1919657.mp4,08.01 Дистанционные продажи
1919667.mp4,01.01 Прочая реклама
1919668.mp4,01.01 Прочая реклама
1919669.mp4,01.01 Прочая реклама
1919682.mp4,28.01 Финансовая организация (банк брокер страхование и т.д.)
1919704.jpg,01.01 Прочая реклама
1919707.jpg,05.02 Иностранные слова
1919708.jpg,05.02 Иностранные слова
1919728.png,29.01 Ценные бумаги
1919730.jpg,02.04 Объявление о продаже
1919762.jpg,02.03 Объявление о работе
1919763.jpg,02.03 Объявление о работе
1919764.jpg,02.03 Объявление о работе
1919765.jpg,02.03 Объявление о работе
1919784.jpg,01.01 Прочая реклама
1919785.jpg,01.01 Прочая реклама
1919844.png,28.08 Застройщик
1919845.jpg,28.08 Застройщик
1919846.jpg,28.08 Застройщик
1919847.jpg,28.08 Застройщик
1919856.jpg,01.01 Прочая реклама
1919874.jpg,21.03 Бар ресторан
1919875.jpg,21.03 Бар ресторан
1919881.mp4,01.01 Прочая реклама
1919882.mp4,01.01 Прочая реклама
1919895.mp4,01.01 Прочая реклама
1919902.jpg,01.01 Прочая реклама
1919903.jpg,01.01 Прочая реклама
1919904.jpg,01.01 Прочая реклама
1919905.jpg,01.01 Прочая реклама
1919906.jpg,01.01 Прочая реклама
1919912.jpg,09.02 Иные акции
1919923.mp4,01.01 Прочая реклама
1919927.jpg,01.01 Прочая реклама
1919946.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919947.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919948.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919949.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919950.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919951.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919952.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919953.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919954.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919955.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919956.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919957.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919958.mp4,"01.01 Прочая реклама,09.02 Иные акции"
1919963.mp4,24.03 Лекарственные препараты 
1919966.png,28.08 Застройщик
1919967.png,28.08 Застройщик
1919974.jpg,01.01 Прочая реклама
1919975.pdf,01.01 Прочая реклама
1919976.pdf,01.01 Прочая реклама
1919978.mp4,21.03 Бар ресторан
1919990.png,28.01 Финансовая организация (банк брокер страхование и т.д.)
1919992.jpg,28.10 Построенная недвижимость
1920024.png,01.01 Прочая реклама
1920025.pdf,01.01 Прочая реклама
1920026.pdf,01.01 Прочая реклама
1920027.pdf,01.01 Прочая реклама
1920028.pdf,01.01 Прочая реклама
1920029.pdf,01.01 Прочая реклама
1920030.pdf,01.01 Прочая реклама
1920048.jpg,09.02 Иные акции
1920245.jpg,05.03 Информационная продукция
1920246.jpg,05.03 Информационная продукция
1920247.jpg,05.03 Информационная продукция
1920248.jpg,05.03 Информационная продукция
1920249.jpg,05.03 Информационная продукция
1920250.jpg,05.03 Информационная продукция
1920251.jpg,05.03 Информационная продукция
1920252.jpg,05.03 Информационная продукция
1920253.jpg,05.03 Информационная продукция
1920254.jpg,05.03 Информационная продукция
1920255.jpg,05.03 Информационная продукция
1920256.jpg,05.03 Информационная продукция
1920257.jpg,05.03 Информационная продукция
1920258.jpg,05.03 Информационная продукция
1920259.jpg,05.03 Информационная продукция
1920260.jpg,05.03 Информационная продукция
1920261.jpg,05.03 Информационная продукция
1920262.jpg,05.03 Информационная продукция
1920263.jpg,05.03 Информационная продукция
1920264.jpg,05.03 Информационная продукция
1920265.jpg,05.03 Информационная продукция
1920266.jpg,05.03 Информационная продукция
1920300.jpg,01.01 Прочая реклама
1920301.jpg,01.01 Прочая реклама
1920302.jpg,01.01 Прочая реклама
1920303.jpg,01.01 Прочая реклама
1920304.jpg,01.01 Прочая реклама
1920325.jpg,01.01 Прочая реклама
1920364.jpg,28.08 Застройщик
1920365.jpg,28.08 Застройщик
1920389.jpg,01.01 Прочая реклама
1920390.jpg,01.01 Прочая реклама
1920391.jpg,01.01 Прочая реклама
1920392.jpg,01.01 Прочая реклама
1920412.jpg,01.01 Прочая реклама
1920420.jpg,09.02 Иные акции
1920475.jpg,01.01 Прочая реклама
1920476.jpg,01.01 Прочая реклама
1920477.jpg,01.01 Прочая реклама
1920481.jpg,09.01 Стимулирующее мероприятие
1920490.jpg,02.03 Объявление о работе
1920511.jpg,28.08 Застройщик
1920512.jpg,28.08 Застройщик
1920513.jpg,28.08 Застройщик
1920514.jpg,28.08 Застройщик
1920515.jpg,28.08 Застройщик
1920516.jpg,28.08 Застройщик
1920517.jpg,28.08 Застройщик
1920525.mp4,09.02 Иные акции
1920530.png,01.01 Прочая реклама
1920534.jpg,24.01 Медицинские услуги
1920542.png,08.01 Дистанционные продажи
1920543.png,08.01 Дистанционные продажи
1920553.jpg,01.01 Прочая реклама
1920554.jpg,01.01 Прочая реклама
1920579.png,01.01 Прочая реклама
1920580.png,01.01 Прочая реклама
1920598.jpg,09.02 Иные акции
1920600.jpg,28.10 Построенная недвижимость
1920605.jpg,01.01 Прочая реклама
1920640.jpg,28.08 Застройщик
1920643.jpg,24.01 Медицинские услуги
1920681.jpg,05.07 QR-код / адрес сайта
1920682.jpg,05.07 QR-код / адрес сайта
1920683.jpg,05.07 QR-код / адрес сайта
1920691.jpg,09.02 Иные акции
1920692.jpg,09.02 Иные акции
1920702.mp4,01.01 Прочая реклама
1920708.mp4,24.01 Медицинские услуги
1920712.jpg,01.01 Прочая реклама
1920713.jpg,01.01 Прочая реклама
1920715.jpg,28.08 Застройщик
1920720.mp4,28.08 Застройщик
